,Show Number,Air Date,Round,Category,Value,Question,Answer
69212,3606,4/17/2000,Double Jeopardy!,WORD ORIGINS,"$1,000 ","Chiefly used in Louisiana, it's Creole for a gift given a customer by a shopkeeper at the time of purchase",Lagniappe
111394,505,11/14/1986,Jeopardy!,WORD ORIGINS,$500 ,The name of this part of a camera was derived from its resemblance to a lentil seed,lens
29274,2019,5/20/1993,Jeopardy!,WORD ORIGINS,$500 ,"Lepos, meaning ""scale"", gave us this word for a pariah",leper
76512,5542,10/14/2008,Double Jeopardy!,WORD ORIGINS,"$1,600 ","The word for this public place comes from the Roman word for tree bark, which was used as writing material",library
134238,4737,3/22/2005,Jeopardy!,WORD ORIGINS,$600 ,"This word used in Roman Catholic theology comes from the Latin for ""edge"" or ""border"" not ""dance""",limbo
122514,4615,10/1/2004,Double Jeopardy!,WORD ORIGINS,"$2,000 ","From the Latin word lampreda we get lamprey, as well as the name of this mollusk",limpet
5848,3470,10/8/1999,Double Jeopardy!,WORD ORIGINS,$400 ,"Many scholars believe that the Celts called it ""The Wild Place""; now this wild place is a city of over 7 million",London
174225,4836,9/26/2005,Jeopardy!,WORD ORIGINS,$600 ,"Billingsgate, a term for foul language, comes from the name of an old fish market in this world capital",London
62680,2830,12/13/1996,Jeopardy!,WORD ORIGINS,$500 ,The name of this small magnifying glass used by jewelers comes from the French for an imperfect gem,Loupe
88860,3576,3/6/2000,Double Jeopardy!,WORD ORIGINS,$400 ,"From middle English for ""lazy lout"", someone who doesn't sail is a ""land"" one",Lubber
69194,3606,4/17/2000,Double Jeopardy!,WORD ORIGINS,$400 ,"Meaning ""light bringer"", it refers to Venus when appearing as the morning star, or to Satan",Lucifer
56914,5755,9/25/2009,Double Jeopardy!,WORD ORIGINS,"$2,000 ","From the Norwegian for ""to pull by hair"", this 3-letter word means to carry with effort, or a blockhead",lug
41225,4617,10/5/2004,Jeopardy!,WORD ORIGINS,$200 ,"A masterful conductor is often called this, Italian for ""master""",maestro
33955,1985,4/2/1993,Jeopardy!,WORD ORIGINS,$300 ,"Some believe the word gimmick began as gimac, an anagram of this",magic
71584,3506,11/29/1999,Double Jeopardy!,WORD ORIGINS,$600 ,"Sanskrit for ""great queen"", she's the wife of a maharajah",Maharani
111383,505,11/14/1986,Jeopardy!,WORD ORIGINS,$300 ,"The name of this game is Chinese for ""house sparrow"" a picture on one of the tiles",mah-jong
71578,3506,11/29/1999,Double Jeopardy!,WORD ORIGINS,$400 ,This word for a shopping center comes from a London site where a ball & mallet game was played in narrow alleys,Mall (from Pall Mall)
5989,2120,11/19/1993,Final Jeopardy!,WORD ORIGINS,None,"The name of this dialect comes from a Hindi word, mantri, meaning ""counselor""",Mandarin
338,5690,5/8/2009,Double Jeopardy!,WORD ORIGINS,$800 ,"This New York island's name may come from the Algonquian word for ""island""",Manhattan
80149,5134,12/28/2006,Jeopardy!,WORD ORIGINS,$200 ,"This kind of dummy often displays women's clothes, though its name comes from the Dutch for ""little man""",mannequin
93295,371,2/10/1986,Double Jeopardy!,WORD ORIGINS,$600 ,"From Old French ""manoeuvrer"" meaning ""to work by hand"", which was how this item was put into soil",manure
208099,3005,9/26/1997,Double Jeopardy!,WORD ORIGINS,"$1,000 ",The name of this xylophone that originated in Africa may be from the Kimbundu language,Marimba
50783,1283,3/14/1990,Double Jeopardy!,WORD ORIGINS,$400 ,"Bread spread whose name comes from the Portuguese for quince jam, though it's often made with oranges",Marmalade
80173,5134,12/28/2006,Jeopardy!,WORD ORIGINS,"$1,000 ","The name of this almond paste confection is derived in part from an Italian word for ""candy box""",marzipan
135386,1639,10/17/1991,Jeopardy!,WORD ORIGINS,$400 ,Almond paste confection whose name comes from a Medieval Italian coin,marzipan
194658,3278,12/2/1998,Jeopardy!,WORD ORIGINS,$200 ,"From a Provencal word for ""witch"", it's a sports team's good-luck symbol",Mascot
174231,4836,9/26/2005,Jeopardy!,WORD ORIGINS,$800 ,"From the Latin for ""mother"", it's a female prison worker who may be less than maternal",matron
157186,5787,11/10/2009,Double Jeopardy!,WORD ORIGINS,"$2,000 ","Meaning tearful & foolishly sentimental, it comes from Magdalene, as in Mary Magdalene",maudlin
92050,1197,11/14/1989,Jeopardy!,WORD ORIGINS,$200 ,Shade of purple whose name comes from a word for mallow because it's the color of mallow petals,mauve
134250,4737,3/22/2005,Jeopardy!,WORD ORIGINS,"$1,000 ","This word for a prolonged state of sadness comes from the Greek for ""black bile"" (once thought to be it's cause)",melancholy
135380,1639,10/17/1991,Jeopardy!,WORD ORIGINS,$300 ,"Evangelical Protestant sect named for its founder, Menno Simons",Mennonite
72082,3628,5/17/2000,Final Jeopardy!,WORD ORIGINS,None,"In Homer, Athena takes the form of this old friend of Odysseus to advise Odysseus' young son",Mentor
122508,4615,10/1/2004,Double Jeopardy!,WORD ORIGINS,"$1,600 ",This Protestant group was named for its founders' strict & orderly approach to life & the Scriptures,Methodists
117517,4247,2/4/2003,Double Jeopardy!,WORD ORIGINS,"$1,000 ","From the Greek for ""small sound"", it's a device used to intensify the voice",microphone
2179,3112,2/24/1998,Double Jeopardy!,WORD ORIGINS,$200 ,"This state's name is from the Sioux for ""sky-tinted waters""; maybe they meant the 10,000 lakes",Minnesota
50795,1283,3/14/1990,Double Jeopardy!,WORD ORIGINS,$800 ,"The name of this fabric made from Angora goat hair comes from the Arabic, meaning ""choice"" or ""select""",Mohair
92056,1197,11/14/1989,Jeopardy!,WORD ORIGINS,$300 ,"Derived from the Greek for ""to sell alone""; if you have one, you alone sell a product",monopoly
88871,3576,3/6/2000,Double Jeopardy!,WORD ORIGINS,$800 ,"From the Chinook hayo makamak, meaning ""plenty to eat"", it's an important, overbearing person",Muckety-muck/muckamuck
174219,4836,9/26/2005,Jeopardy!,WORD ORIGINS,$400 ,"This word said to sled dogs may be an alteration of the French marchons, meaning ""let's go""",mush
86101,2952,6/3/1997,Double Jeopardy!,WORD ORIGINS,$200 ,"The name of this wild horse is from the Spanish word for a stray animal, ""mesteno""",mustang
29256,2019,5/20/1993,Jeopardy!,WORD ORIGINS,$200 ,"This word meaning something not fully understood is from the Greek musterion, ""secret rite""",mystery
62923,737,11/17/1987,Jeopardy!,WORD ORIGINS,$500 ,"From Old English ""nay"", no, and ""whit"", thing, this word means zero",naught
52578,5525,9/19/2008,Double Jeopardy!,WORD ORIGINS,"$5,400 ","This adjective that means ""behaving disobediently or mischievously"" comes from the Old English for ""nothing""",naughty
102357,4912,1/10/2006,Jeopardy!,WORD ORIGINS,$800 ,"A Greek word for ""sailor"" gave us the name of this ""chambered"" sea creature",nautilus
117228,2844,1/2/1997,Final Jeopardy!,WORD ORIGINS,None,"This word is from the Old English for ""The farmer who lives near you""",Neighbor
37705,1250,1/26/1990,Double Jeopardy!,WORD ORIGINS,$800 ,This popular slang expression of the early 20th century is probably just a shortened form of magnificent,nifty
41249,4617,10/5/2004,Jeopardy!,WORD ORIGINS,"$1,000 ","This 3-letter slang term for forbid or veto comes to us from the German for ""nothing""",nix
344,5690,5/8/2009,Double Jeopardy!,WORD ORIGINS,"$4,800 ","This compass direction may come from the Proto-Germanic for ""to the left of the rising sun""",north
76712,3233,9/30/1998,Jeopardy!,WORD ORIGINS,$300 ,"From the Greek nostos, ""A return home"", & algos, ""pain"", it's the pain you experience when remembering",Nostalgia
37687,1250,1/26/1990,Double Jeopardy!,WORD ORIGINS,$200 ,"This word for a cantankerous personality is a variation of ""ordinary""",ornery
134244,4737,3/22/2005,Jeopardy!,WORD ORIGINS,$800 ,"(<a href=""http://www.j-archive.com/media/2005-03-22_J_09.jpg"" target=""_blank"">Sarah of the Clue Crew reports from Naxos, Greece.</a>)  Ostraka, <a href=""http://www.j-archive.com/media/2005-03-22_J_09a.jpg"" target=""_blank"">broken pieces of pottery used as ballots</a> to recommend exile gave us this word for banishment",ostracism
205683,4192,11/19/2002,Double Jeopardy!,WORD ORIGINS,"$1,200 ","Used to fortell the future, this game's name is derived from the French & German words for ""yes""",Ouija
195940,5064,9/21/2006,Final Jeopardy!,WORD ORIGINS,None,"Appropriately, this word comes from Greek words meaning ""sharp"" & ""dull""",oxymoron
80167,5134,12/28/2006,Jeopardy!,WORD ORIGINS,$800 ,"This type of tower is usually seen in Asia, but its name comes from a Portuguese word for ""temple""",pagoda
93289,371,2/10/1986,Double Jeopardy!,WORD ORIGINS,$400 ,A turnpike is called that because originally a pike or turnstile was turned after you did this,paid toll
144428,4173,10/23/2002,Double Jeopardy!,WORD ORIGINS,$400 ,"This nation's name is an acronym partly standing for Punjab, Afghan, Kashmir, Sind & ""Tan"" from Baluchistan",Pakistan
212089,4349,6/26/2003,Final Jeopardy!,WORD ORIGINS,None,"This word that begins with the Greek word for ""all"" was coined by John Milton & means ""tumultuous disorder""",pandemonium
193956,4770,5/6/2005,Double Jeopardy!,WORD ORIGINS,$400 ,"Seen <a href=""http://www.j-archive.com/media/2005-05-06_DJ_11.jpg"" target=""_blank"">here</a>, these flowers got their name from the French for ""to think""",pansies
86113,2952,6/3/1997,Double Jeopardy!,WORD ORIGINS,$600 ,"These photographers take their name from a character in Fellini's ""La Dolce Vita""",paparazzi
52563,5525,9/19/2008,Double Jeopardy!,WORD ORIGINS,$400 ,"This word for desirable places like the Garden of Eden is from the Persian for ""walled around""",paradise
176464,2910,4/4/1997,Double Jeopardy!,WORD ORIGINS,$800 ,"The name of this tiny, 1-celled organism is from the Greek for ""oblong"", because of its shape",Paramecium
41231,4617,10/5/2004,Jeopardy!,WORD ORIGINS,$400 ,The name of this bird is from the French version of Peter,parrot
211411,5409,2/28/2008,Double Jeopardy!,WORD ORIGINS,$400 ,This other term for a pastor is derived from the Middle Latin word persona,parson
93968,2686,4/15/1996,Double Jeopardy!,WORD ORIGINS,"$1,000 ",Anatomists know the islets of this are named for the German physician who first described them,Paul Langerhans
71594,3506,11/29/1999,Double Jeopardy!,WORD ORIGINS,"$1,000 ","Dervied from Old French for ""crane's foot"", it's a genealogical chart or family tree",Pedigree
154535,780,1/15/1988,Double Jeopardy!,WORD ORIGINS,$400 ,"One's lineage, named because the lines on a genealogical chart look like a crane's foot or ""pie de grue""",pedigree
135374,1639,10/17/1991,Jeopardy!,WORD ORIGINS,$200 ,The name of this “tuxedoed” bird may come from the Welsh for “white head”,penguin
138733,6261,12/5/2011,Double Jeopardy!,WORD ORIGINS,"$1,200 ","My gardener told me we don't need to plant; all my flowers are this type, from the Latin for ""through the year""",perennial
37711,1250,1/26/1990,Double Jeopardy!,WORD ORIGINS,"$1,000 ","Irritable or peevish, from the Latin ""petere"", to attack",petulant
57422,6181,6/27/2011,Jeopardy!,WORD ORIGINS,"$3,000 ","Peevish or unreasonably irritable, it's from the Latin petere, meaning ""to assail""",petulant
37699,1250,1/26/1990,Double Jeopardy!,WORD ORIGINS,"$1,500 ","Asked if he were a wise man, Pythagoras supposedly said, ""No, I'm a lover of wisdom"", giving us this word",philosopher
126954,5268,7/4/2007,Final Jeopardy!,WORD ORIGINS,None,"From the Old French for a soldier sent ahead to clear the way, today it refers to the first settlers of a region",pioneers
198731,5223,5/2/2007,Final Jeopardy!,WORD ORIGINS,None,"This word for an action that could cause you to fail a class comes from the Latin for ""kidnap""",plagiarism
71589,3506,11/29/1999,Double Jeopardy!,WORD ORIGINS,$800 ,This white gypsum cement that hardens quickly is named for the French city where it was originally made,Plaster of Paris
102351,4912,1/10/2006,Jeopardy!,WORD ORIGINS,$600 ,"A Middle English variant of ""plait"" became the name of these folds found on skirts",pleat
134232,4737,3/22/2005,Jeopardy!,WORD ORIGINS,$400 ,"The name for this type of worker comes from the Latin for ""lead worker""",plumber
94066,3324,2/4/1999,Double Jeopardy!,WORD ORIGINS,"$2,000 ","It's the part of a saddle whose name comes from a Latin word for ""fruit""",Pommel
140257,1889,11/19/1992,Jeopardy!,WORD ORIGINS,$400 ,"This mammal's name comes from the corruption of a French phrase which meant ""phony pig""",Porcupine
76500,5542,10/14/2008,Double Jeopardy!,WORD ORIGINS,$800 ,"From Old French for ""young hen"", it's the term for domestic fowl in general",poultry
165928,1326,5/14/1990,Jeopardy!,WORD ORIGINS,$200 ,"Italian for ""first lady"", it can refer to a temperamental woman or man",Prima donna
130008,5026,6/19/2006,Final Jeopardy!,WORD ORIGINS,None,"From the name of a committee created by Gregory XV to spread the faith, it means info used to spread a belief",propaganda
80264,5283,7/25/2007,Double Jeopardy!,WORD ORIGINS,"$2,000 ","This term for a leading character of a literary work comes from the Greek for ""first combatant""",protagonist
211900,3224,9/17/1998,Double Jeopardy!,WORD ORIGINS,$800 ,"The name of this prehistoric reptile, the largest known flying animal, means ""wing finger""",Pterodactyl
128488,4933,2/8/2006,Jeopardy!,WORD ORIGINS,"$1,000 ","The name of this foamy volcanic rock is an alteration of the Latin word meaning ""foam""",pumice
65051,2977,7/8/1997,Final Jeopardy!,WORD ORIGINS,None,"This word meaning an expert commentator is derived from the Sanskrit for ""learned man""",Pundit
88865,3576,3/6/2000,Double Jeopardy!,WORD ORIGINS,$600 ,"From the Latin for ""a place of cleansing"", it's a place to cleanse your soul before entering heaven",Purgatory
94083,3324,2/4/1999,Double Jeopardy!,WORD ORIGINS,"$1,000 ","The name of these strips of cloth wound around soldiers' lower legs comes from Hindi & Sanskrit for ""bandage""",Puttees
19925,6025,11/19/2010,Double Jeopardy!,WORD ORIGINS,"$4,000 ","Murray Gell-Mann adopted this word for various hypothetical particles from ""Finnegan's Wake""",quarks
93283,371,2/10/1986,Double Jeopardy!,WORD ORIGINS,$200 ,"These were 1st made during WWII at Quonset Point, Rhode Island",Quonset huts
157168,5787,11/10/2009,Double Jeopardy!,WORD ORIGINS,$800 ,"The name of this leader of a Jewish congregation is from the Hebrew for ""my master""",rabbi
176470,2910,4/4/1997,Double Jeopardy!,WORD ORIGINS,"$1,000 ","This word for a street urchin who wears raggedy clothes was the name of a demon in the poem ""Piers Plowman""",Ragamuffin
192037,969,11/17/1988,Jeopardy!,WORD ORIGINS,$100 ,"The adjective ""ruddy"" comes from the old English ""rudig,"" meaning this color",Red
69206,3606,4/17/2000,Double Jeopardy!,WORD ORIGINS,$800 ,"Today it simply means a sailing race; in the Venetian dialect, it meant a gondola race",Regatta
88855,3576,3/6/2000,Double Jeopardy!,WORD ORIGINS,$200 ,"From the Latin render, ""to yield"", it's something you have to yield up to your landlord",Rent
8797,5397,2/12/2008,Jeopardy!,WORD ORIGINS,$600 ,These sparkly fake gems are partly named for a river that flows through Germany,rhinestones
111371,505,11/14/1986,Jeopardy!,WORD ORIGINS,$100 ,"Imitation diamonds, they were originally gems obtained from a certain German river",rhinestones
52583,5525,9/19/2008,Double Jeopardy!,WORD ORIGINS,"$2,000 ","From the Latin, it once meant ""one living on the opposite bank of a stream from another""; now it means ""opponent""",rival
73281,2816,11/25/1996,Jeopardy!,WORD ORIGINS,$200 ,"The name of this type of popular music combines ""hillbilly"" & ""rock & roll""",rockabilly
157162,5787,11/10/2009,Double Jeopardy!,WORD ORIGINS,$400 ,"No surprise here--the name of this birthstone is from the Latin for ""red""",ruby
211894,3224,9/17/1998,Double Jeopardy!,WORD ORIGINS,$600 ,"Although it's not red, this potato's name is derived from a Latin word for red",Russet
2191,3112,2/24/1998,Double Jeopardy!,WORD ORIGINS,$600 ,"Derived from the Latin for ""salted vegetables"", this cold dish might be enhanced with a little oil & vinegar",salad
117529,4247,2/4/2003,Double Jeopardy!,WORD ORIGINS,"$2,000 ","The name of these ""fishy"" bacteria that cause food poisoning comes from the pathologist who identified them",salmonella
92044,1197,11/14/1989,Jeopardy!,WORD ORIGINS,$100 ,"""Saloon"" came from this French word, which sounds more elegant",salon
156525,3719,11/2/2000,Double Jeopardy!,WORD ORIGINS,$600 ,"Lettuce tell you the term salad comes from the French ""salade"" meaning with this seasoning",salt
169990,5455,5/2/2008,Double Jeopardy!,WORD ORIGINS,$400 ,"Lettuce tell you the term ""salad"" comes from the French salade, meaning with this seasoning",salt
136637,2354,11/24/1994,Jeopardy!,WORD ORIGINS,$500 ,"The name of this Russian urn used to heat water for tea is Russian for ""self-boiler""",Samovar
165145,6272,12/20/2011,Jeopardy!,WORD ORIGINS,$200 ,"This adjective that can mean disrespectful or lively is an alteration of ""saucy""",sassy
73287,2816,11/25/1996,Jeopardy!,WORD ORIGINS,$300 ,"This word is derived from ""self-contained underwater breathing apparatus""",Scuba
134185,312,11/19/1985,Jeopardy!,WORD ORIGINS,$400 ,"From same root as “senile”, to Romans this body's name meant a council of old men",senate
69200,3606,4/17/2000,Double Jeopardy!,WORD ORIGINS,$600 ,"From Latin for ""cuttlefish"", it's the brown color of the cuttlefish ink once used to make a brown dye",Sepia
102339,4912,1/10/2006,Jeopardy!,WORD ORIGINS,$200 ,"The name of these seeds probably goes all the way back to samassammu, Akkadian for ""oil plant""",sesame seeds
140251,1889,11/19/1992,Jeopardy!,WORD ORIGINS,$300 ,"From Arabic for ""old man"", it's the leader of an Arab family, tribe, or village",sheik
43721,6078,2/2/2011,Double Jeopardy!,WORD ORIGINS,$400 ,Scallop & scaloppine come from a word meaning these; the fillets are so thin they curl up like them,shells
5860,3470,10/8/1999,Double Jeopardy!,WORD ORIGINS,"$1,200 ",This wooden club is named for the town in county Wicklow where it originated,Shillelagh
134179,312,11/19/1985,Jeopardy!,WORD ORIGINS,$300 ,Term for noisy dance or party which originally meant a kick in the shins,shindig
94060,3324,2/4/1999,Double Jeopardy!,WORD ORIGINS,$200 ,"This ""relative"" term for sorority members is derived from middle English & old Norse",Sister
135392,1639,10/17/1991,Jeopardy!,WORD ORIGINS,$500 ,"Sorority is derived from the Latin “soror”, which means this",sister
41237,4617,10/5/2004,Jeopardy!,WORD ORIGINS,$600 ,"Make no bones about it, it's from a Greek expression for ""dried-up body""",skeleton
2853,422,4/22/1986,Double Jeopardy!,WORD ORIGINS,"$1,000 ","Run-down part of town, from the rough forest paths along which newly-cut logs were dragged",skid row
43480,4965,3/24/2006,Double Jeopardy!,WORD ORIGINS,$400 ,"If you're schussing around on these, remember that their name comes from old Norse for ""sticks""",skis
76518,5542,10/14/2008,Double Jeopardy!,WORD ORIGINS,"$2,000 ",This word came from a European people who were often conquered & in servitude during the Middle Ages,slave
134173,312,11/19/1985,Jeopardy!,WORD ORIGINS,$200 ,Word “slavery” comes from these eastern Europeans who were often enslaved by conquerors,Slavs
205695,4192,11/19/2002,Double Jeopardy!,WORD ORIGINS,"$2,000 ","Over 800 years old, this 6-letter Middle English word meaning ""track"" was first used for a detective in 1872",sleuth
33961,1985,4/2/1993,Jeopardy!,WORD ORIGINS,$400 ,"This sport derives its name from the word association, as in association football",soccer
80240,5283,7/25/2007,Double Jeopardy!,WORD ORIGINS,$400 ,"This highest natural singing voice for women is Italian for ""what is above""",soprano
157174,5787,11/10/2009,Double Jeopardy!,WORD ORIGINS,"$1,200 ","From the Latin for ""to come to mind"", it's a memento that you might buy as a reminder of a place you visited",souvenir
205689,4192,11/19/2002,Double Jeopardy!,WORD ORIGINS,"$1,600 ","This term for one who explores caves comes from a Greek word for ""cave""",spelunker
81328,4559,6/3/2004,Final Jeopardy!,WORD ORIGINS,None,This somewhat negative term arose because twisting fibers into thread was mainly a woman's job,spinster
69188,3606,4/17/2000,Double Jeopardy!,WORD ORIGINS,$200 ,This nickname for a potato comes from the sharp spade used to dig it up,Spud
117511,4247,2/4/2003,Double Jeopardy!,WORD ORIGINS,$800 ,This nickname for potatoes comes from the spade used to dig them up,spuds
130639,4526,4/19/2004,Jeopardy!,WORD ORIGINS,$800 ,"First launched on October 4, 1957, its name is Russian for ""fellow traveler""",Sputnik
165922,1326,5/14/1990,Jeopardy!,WORD ORIGINS,$100 ,"This name for an earthenware beer mug is German for ""stone""",Stein
14136,5110,11/24/2006,Final Jeopardy!,WORD ORIGINS,None,"Meaning to ascribe predetermined characteristics, this word comes from a printing process using metal plates",stereotype
211429,5409,2/28/2008,Double Jeopardy!,WORD ORIGINS,"$1,600 ",Esteban knows this term for someone who loads a ship's cargo comes from the Spanish word estibador,stevedore
156531,3719,11/2/2000,Double Jeopardy!,WORD ORIGINS,$800 ,"From the Greek for ""generalship"", it's a plan of action, like those employed by the military",strategy
174237,4836,9/26/2005,Jeopardy!,WORD ORIGINS,"$1,000 ","Take a whirl on the dance floor under these lights whose name comes from the Greek for the ""act of whirling""",strobe lights
193980,4770,5/6/2005,Double Jeopardy!,WORD ORIGINS,"$2,000 ","From the Latin for ""uplifted"", it's to divert energy associated with an unacceptable activity into more acceptable areas",sublimate
211417,5409,2/28/2008,Double Jeopardy!,WORD ORIGINS,$800 ,"The name of this fine, soft leather is the French word for Sweden; Sweden was famous for gloves made of it",suede
76700,3233,9/30/1998,Jeopardy!,WORD ORIGINS,$100 ,"This word entered the English language in the 13th century as ""sucre""",Sugar
103116,5465,5/16/2008,Jeopardy!,WORD ORIGINS,$400 ,"This season gets its name from the Sanskrit for ""half year""",summer
147011,5309,10/11/2007,Double Jeopardy!,WORD ORIGINS,$800 ,"Maple or otherwise, this thick, sweet liquid is from the Arabic for ""to drink""",syrup
134226,4737,3/22/2005,Jeopardy!,WORD ORIGINS,$200 ,"The English borrowed this Tongan word for ""forbidden"" & made it a noun referring to the prohibition itself",taboo
102345,4912,1/10/2006,Jeopardy!,WORD ORIGINS,$400 ,"This fox-hunting cry may be an alteration of taiaut, a French cry used in deer hunting",tally-ho
43726,6078,2/2/2011,Double Jeopardy!,WORD ORIGINS,$800 ,"The verb ""to pounce"" comes from a noun meaning this part of a bird of prey",talons (or claws)
144434,4173,10/23/2002,Double Jeopardy!,WORD ORIGINS,$800 ,The hero of a Robert Burns poem lends his name to this woolen cap with a pompom or a tassel,Tam o' Shanter
165946,1326,5/14/1990,Jeopardy!,WORD ORIGINS,$500 ,This Scottish cap was named for the hero of a Robert Burns poem,Tam O' Shanter
33949,1985,4/2/1993,Jeopardy!,WORD ORIGINS,$200 ,"December, decimal & decimate all come from the Latin word for this",ten
165151,6272,12/20/2011,Jeopardy!,WORD ORIGINS,$400 ,"This, from Middle French for ""small ball"", is stronger than the bullet, which is from modern French for ""small ball""",the ballot
2832,422,4/22/1986,Double Jeopardy!,WORD ORIGINS,$200 ,"From Dutch “kaban huis”, meaning ship’s galley, in U.S. it came to mean last car on a train",the caboose
57428,6181,6/27/2011,Jeopardy!,WORD ORIGINS,"$1,000 ","The name of this gum tree comes from the Greek kaluptein, or ""cover"", & it covers more than 500 species",the eucalyptus
130627,4526,4/19/2004,Jeopardy!,WORD ORIGINS,$400 ,"It was derived from 3 German words that meant ""secret state police"", & that certainly describes it",the Gestapo
183712,3104,2/12/1998,Jeopardy!,WORD ORIGINS,$200 ,"This 19th century vehicle seen <a href=""http://www.j-archive.com/media/1998-02-12_J_03.jpg"" target=""_blank"">here</a> was named for its designer, not its good looks",the Hansom Cab
147025,5309,10/11/2007,Double Jeopardy!,WORD ORIGINS,"$2,000 ","The term ""funny bone"" is actually a pun on the name of this upper arm bone",the humerus
57410,6181,6/27/2011,Jeopardy!,WORD ORIGINS,$400 ,The Persian shaghal gave us the name of this dog-like African carnivore & scavenger,the jackal
83468,5230,5/11/2007,Jeopardy!,WORD ORIGINS,$800 ,"This dog breed's name comes from a German word for ""to splash about""",the poodle
83462,5230,5/11/2007,Jeopardy!,WORD ORIGINS,$600 ,"The name of this class of cold-blooded creatures comes from a word for ""to creep""",the reptile
43492,4965,3/24/2006,Double Jeopardy!,WORD ORIGINS,"$1,200 ",It's no Greek myth: this big South American bird was probably named for the wife of Cronus,the rhea
2200,3112,2/24/1998,Double Jeopardy!,WORD ORIGINS,"$1,000 ",The -sex suffix on British placenames refers to this Germanic people,the Saxons
103134,5465,5/16/2008,Jeopardy!,WORD ORIGINS,"$1,000 ","The name of this musical instrument comes from Greek words for ""wood"" and ""voice""",the xylophone
103110,5465,5/16/2008,Jeopardy!,WORD ORIGINS,$200 ,"This part of an egg gets its name from the Old English for ""yellow""",the yolk
86107,2952,6/3/1997,Double Jeopardy!,WORD ORIGINS,$400 ,"From the Greek for ""treasure"", this type of book contains a trove of synonyms",thesaurus
140239,1889,11/19/1992,Jeopardy!,WORD ORIGINS,$100 ,The name of this small metal fingercap is derived from an Old English word for thumb,Thimble
193968,4770,5/6/2005,Double Jeopardy!,WORD ORIGINS,"$1,200 ","Perhaps from the Caribbean taino for ""pipe for smoking"", it's the dried leaves of a plant of the nightshade family",tobacco
50801,1283,3/14/1990,Double Jeopardy!,WORD ORIGINS,"$1,000 ",It's believed that these jugs were named for a character in an 18th century ballad,Toby Jugs
76724,3233,9/30/1998,Jeopardy!,WORD ORIGINS,$500 ,"Originally, it referred to a boisterous, rude lad, not a young girl who behaves like a lad as it does now",Tomboy
88877,3576,3/6/2000,Double Jeopardy!,WORD ORIGINS,"$1,000 ","From the Greek dendron, something dendroid is shaped like one of these",Tree
192061,969,11/17/1988,Jeopardy!,WORD ORIGINS,$500 ,"Named for a town in France, this sheer net fabric is used to make bridal veils and tutus",Tulle
216566,3038,11/12/1997,Double Jeopardy!,WORD ORIGINS,"$1,000 ",The name of these beauty devices comes from etuis -- small decorative cases that once held them,Tweezers
86119,2952,6/3/1997,Double Jeopardy!,WORD ORIGINS,$800 ,In the late 1880s Americans borrowed this title for powerful businessmen from Japanese shoguns,tycoons
117523,4247,2/4/2003,Double Jeopardy!,WORD ORIGINS,"$1,600 ","Derived from the Spanish word for ""let's go"", it means to leave hurriedly",vamoose (vamonos)
216560,3038,11/12/1997,Double Jeopardy!,WORD ORIGINS,$800 ,"Vegan is a contraction of this word, & means a strict one",Vegetarian
43504,4965,3/24/2006,Double Jeopardy!,WORD ORIGINS,"$2,000 ","The name of this greenish patina that forms on copper comes from Old French for ""green of Greece""",verdigris
165934,1326,5/14/1990,Jeopardy!,WORD ORIGINS,$300 ,"From the Latin for ""worm"", it's defined simply as ""animals obnoxious to man""",Vermin
83450,5230,5/11/2007,Jeopardy!,WORD ORIGINS,$200 ,"The name of these bones that form the spinal column comes partly from a word meaning ""to turn""",vertebrae
137678,3166,5/11/1998,Double Jeopardy!,WORD ORIGINS,"$1,000 ","This noun from the Italian for ""skilled"" is often applied to top musicians",Virtuoso
130621,4526,4/19/2004,Jeopardy!,WORD ORIGINS,$200 ,"The name of this colorless Russian spirit is a diminutive of the Russian word for ""water"", itself a colorless liquid",vodka
183730,3104,2/12/1998,Jeopardy!,WORD ORIGINS,$500 ,"Whether it's ""English"" or not, the name of this nut comes from Old English for ""foreign nut""",walnut
57404,6181,6/27/2011,Jeopardy!,WORD ORIGINS,$200 ,"Aka hump day, it was named for a Norse god",Wednesday
69747,2130,12/3/1993,Double Jeopardy!,WORD ORIGINS,$600 ,"Our word ""blanket"" is derived in part from Old French for this color",white
208075,3005,9/26/1997,Double Jeopardy!,WORD ORIGINS,$200 ,"The name of the alb, a vestment worn by priests, is derived from a Latin word for this color",White (alba)
216554,3038,11/12/1997,Double Jeopardy!,WORD ORIGINS,$600 ,"This hyphenated adverb is an alteration of will ye, nill ye, meaning ""Be you willing, be you unwilling""",Willy-nilly
174213,4836,9/26/2005,Jeopardy!,WORD ORIGINS,$200 ,"This common term for a weak, ineffectual person may be derived from ""whimper""",wimp
2185,3112,2/24/1998,Double Jeopardy!,WORD ORIGINS,$400 ,"The Old Norse word ""vindauga"" gave us this pane-ful word for an opening in a wall",window
56893,5755,9/25/2009,Double Jeopardy!,WORD ORIGINS,$400 ,The X in this holiday spelling comes from the Greek letter chi & also represents the cross,Xmas
76718,3233,9/30/1998,Jeopardy!,WORD ORIGINS,$400 ,"Greek for ""wood sound"", this instrument's name refers to its tuned wooden bars",Xylophone
176446,2910,4/4/1997,Double Jeopardy!,WORD ORIGINS,$200 ,This food that tastes similar to a sweet potato derives its name from the Portuguese word inhame,Yam
