,Show Number,Air Date,Round,Category,Value,Question,Answer
136415,4614,9/30/2004,Double Jeopardy!,OPERA,$400 ,Eva has to marry the winner of a singing contest in Nuremberg in this comic opera by Wagner,Die Meistersinger (von Nürnburg)
136421,4614,9/30/2004,Double Jeopardy!,OPERA,"$1,600 ","In 2004 the Royal Opera dropped soprano Deborah Voigt from ""Ariadne Auf Naxos"" for this reason",she was too heavy
136427,4614,9/30/2004,Double Jeopardy!,OPERA,"$2,000 ","The name of this comic opera by Mozart is sometimes translated as ""So Do They All""",Cosi Fan Tutte
137419,2,9/11/1984,Double Jeopardy!,OPERA,$200 ,The Lone Ranger's theme is the opera's overture,(The) William Tell (Overture)
137425,2,9/11/1984,Double Jeopardy!,OPERA,$400 ,Profession of Rossini's Figaro,a barber
137430,2,9/11/1984,Double Jeopardy!,OPERA,"$1,000 ","<a href=""http://www.j-archive.com/media/1984-09-11_DJ_09.mp3"">This</a> aria from ""Pagliacci"" gave him the first million-selling record ever",Enrico Caruso
137435,2,9/11/1984,Double Jeopardy!,OPERA,$800 ,Lt. Pinkerton's girlfriend Cio-Cio-San,Madame Butterfly
137440,2,9/11/1984,Double Jeopardy!,OPERA,"$1,000 ",1976 was also the bicentennial of this famed Milan opera house,Teatro alla Scala
141098,1318,5/2/1990,Double Jeopardy!,OPERA,$200 ,"The title of Donizetti's opera ""La Fille Du Regiment"" translates to this","""The Daughter of the Regiment"""
141104,1318,5/2/1990,Double Jeopardy!,OPERA,$400 ,"""Lakme"" is set in this country, where Lakme is the daughter of a Brahman priest",India
141110,1318,5/2/1990,Double Jeopardy!,OPERA,$600 ,"Of a baritone, a bass or a tenor, what Caruso was",Tenor
141116,1318,5/2/1990,Double Jeopardy!,OPERA,$800 ,"Pietro Mascagni said, ""It is a pity I wrote"" this opera ""first.  I was crowned before I became king.""",Cavalleria rusticana
141122,1318,5/2/1990,Double Jeopardy!,OPERA,"$1,000 ","In Verdi's opera ""Don Carlos"", Don Carlos is the son of this 16th century Spanish king",King Philip II
143387,1882,11/10/1992,Jeopardy!,OPERA,$100 ,"Giulio Rospigliosi, who held this office as Clement IX, wrote the libretto for the first comic opera",The Pope/Papacy
143393,1882,11/10/1992,Jeopardy!,OPERA,$200 ,"Both Stravinsky's ""The Nightingale"" & Puccini's ""Turandot"" are set in this country",China
143399,1882,11/10/1992,Jeopardy!,OPERA,$300 ,This nation opened its first opera house on the banks of the Amstel River in 1986,The Netherlands/Holland
143405,1882,11/10/1992,Jeopardy!,OPERA,$400 ,This Verdi jester is considered one of the most challenging baritone roles ever written,Rigoletto
143411,1882,11/10/1992,Jeopardy!,OPERA,$500 ,"""Boris Godunov"" is the only opera completed by this composer",Modest Mussorgsky
145204,2862,1/28/1997,Double Jeopardy!,OPERA,$200 ,"""Djamileh"" is a comic opera by this composer of ""Carmen""",Georges Bizet
145210,2862,1/28/1997,Double Jeopardy!,OPERA,$400 ,"Douglas Moore's 1951 opera ""Giants In"" this is an adaptation of the novel by Ole E. Rolvaag",The Earth
145216,2862,1/28/1997,Double Jeopardy!,OPERA,$600 ,"This oratorio composer's 1735 opera ""Ariodante"" is based on ""Orlando Furioso""",George Frideric Handel
145222,2862,1/28/1997,Double Jeopardy!,OPERA,$800 ,"""Der Rosenkavalier"" takes place in Vienna during the reign of this archduchess",Maria Theresa
145228,2862,1/28/1997,Double Jeopardy!,OPERA,"$1,000 ","This ""Turandot"" composer's opera ""Sister Angelica"" is set in a convent & has an all-female cast",Giacomo Puccini
148055,1236,1/8/1990,Jeopardy!,OPERA,$100 ,"He composed a 1-act jazz opera called ""Blue Monday"" 13 years before ""Porgy & Bess""",George Gershwin
148071,1236,1/8/1990,Jeopardy!,OPERA,$400 ,"Rimsky-Korsakov wrote an opera about Mozart's rivalry with this man, who allegedly poisoned him",Antonio Salieri
148077,1236,1/8/1990,Jeopardy!,OPERA,$500 ,"He wrote his 1st opera, ""The Death of Pierrot"", at age 11; the one about Amahl came much later",Gian Carlo Menotti
149963,2753,7/17/1996,Double Jeopardy!,OPERA,$200 ,"This Austrian composer's 1790 opera ""Cosi Fan Tutte"" is set in 18th c. Naples",W.A. Mozart
149969,2753,7/17/1996,Double Jeopardy!,OPERA,$400 ,Donizetti's opera about this female Borgia is based on a play by Victor Hugo,Lucrezia Borgia
149975,2753,7/17/1996,Double Jeopardy!,OPERA,$600 ,"The first scene of this composer's ""Das Rheingold"" takes place at the bottom of the Rhine",Richard Wagner
149981,2753,7/17/1996,Double Jeopardy!,OPERA,$800 ,"Bellini's 1831 opera ""Norma"" had its world premiere at this Milan opera house",La Scala
149987,2753,7/17/1996,Double Jeopardy!,OPERA,"$1,000 ","Maria Callas was noted for her passionate performance in this composer's ""Tosca""",Giacomo Puccini
150595,1150,9/8/1989,Jeopardy!,OPERA,$100 ,"This queen is a leading character in the epic 20th century opera ""Christophe Colomb""",Queen Isabella
150600,1150,9/8/1989,Jeopardy!,OPERA,$200 ,"""The Shepherds of the Delectable Mountain"" is an opera based on this John Bunyan work",The Pilgrim's Progress
150605,1150,9/8/1989,Jeopardy!,OPERA,$300 ,Both of these opera companies are based at Lincoln Center,Metropolitan & New York City Opera
150611,1150,9/8/1989,Jeopardy!,OPERA,$400 ,"In English, the name of this Verdi opera means ""The Troubadour""",Il trovatore
150617,1150,9/8/1989,Jeopardy!,OPERA,$500 ,Birgit Nilsson is best known for her heroic roles in this composer's operas,Richard Wagner
154015,3518,12/15/1999,Final Jeopardy!,OPERA,None,A 1920s discovery proved that some of the instruments used in this 1871 opera were historically accurate,"\""Aida\"""
160562,4210,12/13/2002,Double Jeopardy!,OPERA,$400 ,"""The Marriage of"" this servant of Count Almaviva was once banned in France lest it incite the lower classes to revolt",Figaro
160568,4210,12/13/2002,Double Jeopardy!,OPERA,$800 ,Much of this Puccini opera takes place in a cafe in Paris' Latin Quarter,La boheme
160574,4210,12/13/2002,Double Jeopardy!,OPERA,"$1,200 ","In 1928 he & Bertolt Brecht ""jazzed"" up ""The Beggar's Opera"" to create ""The Threepenny Opera""",Kurt Weill
160580,4210,12/13/2002,Double Jeopardy!,OPERA,"$1,600 ",This Humperdinck opera developed from verses written by his sister which were based on a Grimm fairy tale,Hansel and Gretel
160586,4210,12/13/2002,Double Jeopardy!,OPERA,"$2,000 ","This Johann Strauss operetta has appeared in an English version titled ""Night Birds""",Die Fledermaus
161106,1330,5/18/1990,Double Jeopardy!,OPERA,$200 ,"By the end of ""Salome"" this character has lost his head",John the Baptist
161112,1330,5/18/1990,Double Jeopardy!,OPERA,$400 ,"She marries King Mark, but Tristan is her consuming passion",Isolde
161118,1330,5/18/1990,Double Jeopardy!,OPERA,$600 ,"In English the title of this Richard Strauss opera is ""The Knight of the Rose""",Der Rosenkavalier
161124,1330,5/18/1990,Double Jeopardy!,OPERA,$800 ,"Berlioz's opera about ""The Damnation Of"" this man features the ""Dance of the Sylphs""",Faust
161130,1330,5/18/1990,Double Jeopardy!,OPERA,"$1,000 ","In the last scene of ""The Maid Of Orleans"", a fire is lit in this city",Rouen
162209,1655,11/8/1991,Double Jeopardy!,OPERA,$200 ,This opera set in Nagasaki was first performed in Italian in Milan in 1904,Madama Butterfly
162215,1655,11/8/1991,Double Jeopardy!,OPERA,$400 ,"Common translation of the Wagner title ""Der Fliegende Hollander""",The Flying Dutchman
162221,1655,11/8/1991,Double Jeopardy!,OPERA,$600 ,"In ""La Boheme"" Rodolfo lights her fire; they meet when she asks him to light her candle",Mimi
162227,1655,11/8/1991,Double Jeopardy!,OPERA,$800 ,"He wrote the libretto for Dessau's ""The Trial of Lucullus"" & Weill's ""The Threepenny Opera""",Bertolt Brecht
162233,1655,11/8/1991,Double Jeopardy!,OPERA,"$1,500 ","""The Mother Of Us All"", by Virgil Thomson & Gertrude Stein, is about this American feminist",Susan B. Anthony
164399,5870,3/5/2010,Double Jeopardy!,OPERA,$400 ,"In Rimsky-Korsakov's ""The Maid of Pskov"", this notorious 16th c. czar destroys the city of Novgorod",Ivan (the Terrible)
164405,5870,3/5/2010,Double Jeopardy!,OPERA,$800 ,"In ""Maria Stuarda"", this queen signs Mary Stuart's death warrant after being called a bastard",Queen Elizabeth I
164411,5870,3/5/2010,Double Jeopardy!,OPERA,"$2,000 ","On Feb. 26, 1776 a fire destroyed Milan's Royal Ducal Theatre; this replaced it",La Scala di Milano
164417,5870,3/5/2010,Double Jeopardy!,OPERA,"$1,600 ","This Gian Carlo Menotti TV opera features a crippled boy, his mother & 3 kings: Kaspar, Melchior & Balthazar",Amahl and the Night Visitors
164423,5870,3/5/2010,Double Jeopardy!,OPERA,"$2,000 ","This Johann Strauss opera has appeared in several English versions, including ""Night Birds"" & ""Rosalinda""",Die Fledermaus
164935,2856,1/20/1997,Double Jeopardy!,OPERA,$200 ,As a teen Gian Carlo Menotti turned this undersea H.C. Andersen fairy tale into an opera,"""The Little Mermaid"""
164941,2856,1/20/1997,Double Jeopardy!,OPERA,$400 ,"In this Puccini work, Sharpless, the American consul in Nagasaki, is sung by a baritone","""Madame Butterfly"""
164947,2856,1/20/1997,Double Jeopardy!,OPERA,$600 ,"This Richard Strauss opera is a ""Wilde"" tale set around 30 A.D. in Galilee","""Salome"""
164953,2856,1/20/1997,Double Jeopardy!,OPERA,$800 ,"This ""Billy The Kid"" composer wrote 2 operas:  ""The Second Hurricane"" & ""The Tender Land""",Aaron Copland
164959,2856,1/20/1997,Double Jeopardy!,OPERA,"$1,000 ","""The Tales of Hoffmann"" was his last & greatest work",Jacques Offenbach
169030,6032,11/30/2010,Double Jeopardy!,OPERA,$400 ,"""Twilight of the Gods"" is the last part of this composer's ""Ring"" cycle",Wagner
169036,6032,11/30/2010,Double Jeopardy!,OPERA,$800 ,"In an opera based on a fairy tale, this title girl gives the prince one of a pair of bracelets before leaving the ball",Cinderella
169042,6032,11/30/2010,Double Jeopardy!,OPERA,"$1,200 ","Coppelius & Dr. Miracle appear in ""The Tales of"" him",Hoffmann
169048,6032,11/30/2010,Double Jeopardy!,OPERA,"$1,600 ","This Beethoven opera was based on a play called ""Leonore""",Fidelio
169054,6032,11/30/2010,Double Jeopardy!,OPERA,"$2,000 ",Bellini title gal who's high priestess of a Druid temple in Gaul,Norma
170708,3897,7/10/2001,Double Jeopardy!,OPERA,$200 ,"Henry Purcell wrote operas about ""The Faery"" one & ""The Indian"" one",Queen
170714,3897,7/10/2001,Double Jeopardy!,OPERA,$400 ,"In 1829, after his move to Paris, this Italian composer wrote ""William Tell""",Gioachino Rossini
170720,3897,7/10/2001,Double Jeopardy!,OPERA,$600 ,"Lorenzo Da Ponte supplied composers with over 40 librettos, including ""Cosi fan tutte"" for this man",W.A. Mozart
170726,3897,7/10/2001,Double Jeopardy!,OPERA,$800 ,"He was in his 70s when he composed ""Otello"" in 1887 & ""Falstaff"" in 1893",Giuseppe Verdi
170732,3897,7/10/2001,Double Jeopardy!,OPERA,"$1,500 ","After his 1711 opera ""Rinaldo"" made his name, he immediately moved from Hanover to England",G.F. Handel
179257,3539,1/13/2000,Double Jeopardy!,OPERA,$200 ,Its 1871 premiere in Cairo was delayed due to the Franco-Prussian War,"""Aida"""
179263,3539,1/13/2000,Double Jeopardy!,OPERA,$400 ,"This city on the Adriatic is the setting for ""La Gioconda""",Venice
179269,3539,1/13/2000,Double Jeopardy!,OPERA,$600 ,"1850 Wagner opera in which you'd hear ""Farewell, farewell, my beloved swan""","""Lohengrin"""
179275,3539,1/13/2000,Double Jeopardy!,OPERA,$800 ,"In a Puccini opera, this prima donna is pursued by the evil Scarpia, chief of the Roman police","""Tosca"""
179280,3539,1/13/2000,Double Jeopardy!,OPERA,"$1,000 ","The name of this short Pietro Mascagni opera translates to ""Rustic Chivalry""","""Cavalleria rusticana"""
179375,4562,6/8/2004,Double Jeopardy!,OPERA,$400 ,"For the gift of youth, this philosopher & alchemist pledges his soul to Mephistopheles",Faust
179381,4562,6/8/2004,Double Jeopardy!,OPERA,"$1,800 ",Act I of this opera opens at Pinkerton's house in Nagasaki,Madame Butterfly
179387,4562,6/8/2004,Double Jeopardy!,OPERA,"$1,200 ","This Beethoven opera was originally titled ""Leonore""",Fidelio
179393,4562,6/8/2004,Double Jeopardy!,OPERA,"$1,600 ","Jacques Offenbach died on Oct. 5, 1880, 4 months before his ""Tales of"" this poet was first produced",Hoffmann
179399,4562,6/8/2004,Double Jeopardy!,OPERA,"$2,000 ","In a Richard Wagner opera, this knight in shining armor arrives on a boat drawn by a swan",Lohengrin
185040,5176,2/26/2007,Double Jeopardy!,OPERA,$400 ,The title libertine of this 1787 Mozart opera seduces women in 17th century Seville,Don Giovanni
185046,5176,2/26/2007,Double Jeopardy!,OPERA,$800 ,"The title of this Puccini opera deals with a painter (Marcello), a poet (Rodolfo) & a philosopher (Colline)",La bohème
185052,5176,2/26/2007,Double Jeopardy!,OPERA,"$2,000 ",The Franco-Prussian war delayed this Verdi opera's premiere: scenery couldn't leave besieged Paris for Cairo,Aida
185698,2933,5/7/1997,Double Jeopardy!,OPERA,$200 ,"Traditionally, a female singer plays the role of Hansel in this Humperdinck opera","""Hansel and Gretel"""
185704,2933,5/7/1997,Double Jeopardy!,OPERA,$400 ,Jules Massenet composed an opera based on this famous novel by Miguel de Cervantes,"""Don Quixote"""
185710,2933,5/7/1997,Double Jeopardy!,OPERA,$600 ,"This hefty superstar tenor from Modena, Italy is often compared to Caruso",Luciano Pavarotti
185716,2933,5/7/1997,Double Jeopardy!,OPERA,$800 ,"Originally, this composer's opera ""Rigoletto"" was titled ""La Maledizione"" (""The Curse"")",Giuseppe Verdi
185722,2933,5/7/1997,Double Jeopardy!,OPERA,"$1,000 ","Originally, this Czech composer's opera ""The Bartered Bride"" contained some spoken dialogue",Bedrich Smetana
193544,3379,4/22/1999,Double Jeopardy!,OPERA,$200 ,"Consumed with guilt over her affair with Boris, the heroine of ""Katya Kabanova"" drowns herself in this Russian river",Volga
193550,3379,4/22/1999,Double Jeopardy!,OPERA,$400 ,"Ferenc Erkel's 1844 work ""Hunyady Laszlo"" is one of this country's most famous operas",Hungary
193556,3379,4/22/1999,Double Jeopardy!,OPERA,$600 ,"Minnie runs a saloon in a California mining camp in this Italian composer's opera ""The Girl of the Golden West""",Giacomo Puccini
193562,3379,4/22/1999,Double Jeopardy!,OPERA,$800 ,"""Die Harmonie der Welt"" explores the life of this astronomer & his musical theories of planetary motion",Johannes Kepler
193568,3379,4/22/1999,Double Jeopardy!,OPERA,"$1,000 ","The heroine of this Czech composer's 1881 opera ""Libuse"" is the queen of Bohemia",Bedrich Smetana
200151,5804,12/3/2009,Double Jeopardy!,OPERA,$400 ,"""The Canterbury Pilgrims"", an 1884 opera, is based on a work by him",Geoffrey Chaucer
200157,5804,12/3/2009,Double Jeopardy!,OPERA,"$4,000 ","Several operas based on ""The Hunchback of Notre Dame"" are named for this Gypsy girl",Esméralda
200163,5804,12/3/2009,Double Jeopardy!,OPERA,"$1,200 ","In a fairy tale Rossini opera, Angelina is called this",Cinderella (La Cenerentola)
200169,5804,12/3/2009,Double Jeopardy!,OPERA,"$1,600 ","""Pagliacci"" is almost always performed with this 1-act Mascagni opera, ""Cav"" for short",Cavalleria rusticana
200175,5804,12/3/2009,Double Jeopardy!,OPERA,"$2,000 ",Tom Rakewell is lured into a life of vice in this 1951 opera based on a series of engravings by William Hogarth,The Rake's Progress
201928,4338,6/11/2003,Jeopardy!,OPERA,$200 ,Figaro is the title character of this 1816 Rossini opera,The Barber of Seville
201934,4338,6/11/2003,Jeopardy!,OPERA,$400 ,"Mimi in ""La boheme"" suffers & dies from this disease",consumption
201940,4338,6/11/2003,Jeopardy!,OPERA,$600 ,This title character performs the Dance of the Seven Veils for Herod in an opera by Richard Strauss,Salome
201946,4338,6/11/2003,Jeopardy!,OPERA,$800 ,"""Esmeralda"", an 1840s opera, is based on a work by this ""Miserable"" author",Victor Hugo
201952,4338,6/11/2003,Jeopardy!,OPERA,"$1,000 ","This Russian composer's ""The Love for Three Oranges"" is an opera within an opera about a melancholy prince",Sergei Prokofiev
213074,4156,9/30/2002,Double Jeopardy!,OPERA,$400 ,"The world's 5 largest opera houses are in the U.S., with this one in NYC the largest at a capacity of 4,065",Metropolitan Opera House
213080,4156,9/30/2002,Double Jeopardy!,OPERA,$800 ,"Act II, Scene 2 of this opera begins with the song ""Gloria All' Egitto e Ad Iside"", or ""Glory to Egypt and to Isis""",Aida
213086,4156,9/30/2002,Double Jeopardy!,OPERA,"$4,000 ","This Mozart opera about an insatiable lover is also known as ""The Reprobate Punished""",Don Giovanni
213092,4156,9/30/2002,Double Jeopardy!,OPERA,"$1,600 ","A highlight of Enrico Caruso's career was his rendition of the aria ""Vesti la Giubba"" in this Leoncavallo opera",Pagliacci
213098,4156,9/30/2002,Double Jeopardy!,OPERA,"$2,000 ","In ""La boheme"", the sickly Mimi dies in the arms of her lover, this poet",Rodolfo
213767,4602,9/14/2004,Jeopardy!,OPERA,$200 ,"The title role in ""Boris Godunov"" is for a singer in this vocal range",bass
213773,4602,9/14/2004,Jeopardy!,OPERA,$400 ,"Peter Cornelius' opera ""The Barber of Baghdad"" was based on a tale in this collection",Arabian Nights
213779,4602,9/14/2004,Jeopardy!,OPERA,$600 ,"In Sir Arthur Sullivan's ""Ivanhoe"", ""Ho, Jolly Jenkin"" is an aria for this Friar",Friar Tuck
213785,4602,9/14/2004,Jeopardy!,OPERA,$800 ,"Wagner didn't want ""Parsifal"" performed outside of this city that now holds Wagner festivals",Bayreuth
213791,4602,9/14/2004,Jeopardy!,OPERA,"$1,000 ","His ""Elecktra"" in 1908 may have been electric, but it was his ""Salome"" 3 years earlier that was scandalous",Richard Strauss
